Animal,Date,Sex,BW,Genotype,pain,trial,data
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,4.64
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,4.44
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,4.23
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,1.89
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-3.85
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-17.40
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-32.99
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-39.03T3
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-47.80
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-59.00
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-65.39
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-52.96
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-13.75
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,8.12
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,8.66 gr
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,3.29
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,3.00
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,2.73
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,2.66
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,2.37
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-2.68
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-9.89
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-16.87
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-19.83
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-24.53
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-34.96
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-51.01
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-68.59
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-80.91
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-85.32
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-83.00
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-31.21
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,4.01
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,6.02
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,5.58
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-10.79
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-10.79
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-10.80
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-10.76
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-9.52
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-8.78
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-11.53
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-19.04
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-33.89
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-46.27
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-48.73
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-61.67
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-82.00
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-98.22
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-99.96
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-82.91
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-30.12
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-9.60
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-6.81
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-0.33
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-0.33
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-0.76
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-11.42
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-21.77
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-28.73
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-38.69
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-39.33
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-44.56
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-58.04
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-79.43
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-90.13
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-88.17
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-60.77
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-42.64
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-37.32
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-7.55
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-0.32
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-0.24
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,2.33
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,2.26
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,2.19
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,2.09
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,2.01
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,1.91
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,1.82
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,1.73
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,0.61
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-5.17
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-19.33
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-38.63
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-39.58
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-31.52
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-21.42
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-14.03
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-10.06
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-13.54
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-33.75
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-41.75
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-4.12
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,4.66
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,3.90
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,-0.67
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,1.16
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,2.06
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,2.10
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,1.83
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,1.45
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,0.75
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,-0.72
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,-5.19
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,-17.06
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,-42.43
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,-73.04
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,-48.48
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,0.31
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,5.03
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,4.37
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,3.67
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,3.17
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,3.64
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,3.48
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,3.31
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,3.22
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,3.22
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,4.87
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,3.44
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-6.13
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-12.43
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-21.04
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-27.03
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-31.37
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-36.02
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-43.27
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-51.00
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-49.81
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-10.70
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,6.20
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-1.13
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-1.19
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-1.26
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-1.33
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-1.68
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-7.80
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-18.84
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-34.68
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-58.74
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-76.27
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-86.53
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-103.22
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-68.95
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-5.08
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,2.51
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,1.58
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,0.88 gram
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,3.81
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,3.61
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,3.48
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,3.35
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,3.18
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,3.11
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,2.40
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-6.85
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-23.37
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-47.24
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-72.93
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-101.47
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-119.93
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-117.80
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-123.81
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-102.39
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-24.51
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-2.60
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-1.75
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-1.35
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-2.34
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-2.46
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-2.50
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-2.57
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-2.89
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-3.09
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-3.20
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-3.27
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-4.27
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-8.95
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-13.16
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-36.14
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-76.01
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-99.04
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-99.89
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-87.34
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-29.81
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,3.85
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,4.82
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,4.38
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,4.15
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-3.70
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-3.73
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-3.78
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-4.03
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-4.44
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-4.71
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-6.24
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-13.14
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-27.06
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-40.90
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-43.24
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-46.20
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-59.71
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-69.02
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-64.58
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-29.59
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-2.71
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-1.63
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-2.34
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,ing: 0.85
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,0.67
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,0.55
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,0.42
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,0.32
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,0.25
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,0.11
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,0.03
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,-0.66
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,-5.71
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,-16.95
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,-40.57
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,-64.87
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,-81.88
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,-60.91
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,-27.31
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,-1.96
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,3.21
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,2.67
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,2.25
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,1,1.97
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,2,1.25
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,2,1.09
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,2,0.89
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,2,0.74
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,2,0.59
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,2,0.10
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,2,-4.08
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,2,-13.85
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,2,-30.06
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,2,-56.25
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,2,-83.92
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,2,-58.52
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,2,-6.99
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,2,1.55
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,2,1.30
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,2,1.05
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,1.44
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,0.91
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,0.56
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,0.29
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,0.13
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,0.01
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,-0.13
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,-0.23
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,-0.31
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,-0.90
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,-7.72
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,-24.27
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,-38.42
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,-41.63
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,-47.46
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,-39.70
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,-33.25
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,-7.27
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,4.17
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,3.49
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,2.82
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,3,2.33
