Animal,DOB,Date,Sex,BW,Genotype,pain,trial,data,Housing
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-27.13,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-39.34,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-41.37,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-44.53,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-45.87,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-43.42,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-43.56,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-26.04,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,2.51,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,6.25,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,7.03,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,6.79,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,6.52,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,6.26,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,6.01,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,4.41,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-6.36,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-32.82,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-47.52,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-47.87,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-47.04,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-44.70,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-34.97,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-18.14,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-8.40,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,4.81,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,4.64,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,4.44,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,4.23,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,1.89,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-3.85,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-17.40,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-32.99,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-39.03,normalT3
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-47.80,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-59.00,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-65.39,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-52.96,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,-13.75,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,8.12,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,8.66 gr,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,3.29,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,3.00,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,2.73,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,2.66,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,2.37,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-2.68,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-9.89,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-16.87,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-19.83,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-24.53,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-34.96,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-51.01,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-68.59,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-80.91,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-85.32,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-83.00,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,-31.21,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,4.01,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,6.02,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,5.58,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-10.79,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-10.79,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-10.80,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-10.76,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-9.52,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-8.78,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-11.53,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-19.04,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-33.89,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-46.27,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-48.73,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-61.67,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-82.00,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-98.22,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-99.96,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-82.91,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-30.12,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-9.60,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,-6.81,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-0.33,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-0.33,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-0.76,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-11.42,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-21.77,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-28.73,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-38.69,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-39.33,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-44.56,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-58.04,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-79.43,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-90.13,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-88.17,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-60.77,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-42.64,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-37.32,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-7.55,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-0.32,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,-0.24,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,2.33,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,2.26,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,2.19,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,2.09,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,2.01,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,1.91,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,1.82,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,1.73,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,0.61,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-5.17,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-19.33,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-38.63,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-39.58,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-31.52,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-21.42,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-14.03,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-10.06,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-13.54,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-33.75,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-41.75,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,-4.12,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,4.66,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,3.90,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,-0.67,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,1.16,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,2.06,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,2.10,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,1.83,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,1.45,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,0.75,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,-0.72,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,-5.19,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,-17.06,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,-42.43,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,-73.04,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,-48.48,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,0.31,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,5.03,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,4.37,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,3.67,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,3.17,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,3.64,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,3.48,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,3.31,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,3.22,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,3.22,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,4.87,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,3.44,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-6.13,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-12.43,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-21.04,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-27.03,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-31.37,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-36.02,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-43.27,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-51.00,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-49.81,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,-10.70,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,6.20,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-1.13,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-1.19,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-1.26,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-1.33,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-1.68,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-7.80,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-18.84,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-34.68,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-58.74,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-76.27,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-86.53,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-103.22,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-68.95,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,-5.08,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,2.51,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,1.58,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,4,0.88 gram,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,3.81,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,3.61,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,3.48,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,3.35,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,3.18,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,3.11,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,2.40,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-6.85,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-23.37,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-47.24,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-72.93,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-101.47,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-119.93,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-117.80,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-123.81,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-102.39,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-24.51,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-2.60,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-1.75,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,5,-1.35,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-2.34,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-2.46,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-2.50,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-2.57,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-2.89,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-3.09,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-3.20,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-3.27,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-4.27,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-8.95,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-13.16,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-36.14,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-76.01,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-99.04,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-99.89,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-87.34,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,-29.81,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,3.85,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,4.82,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,4.38,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,6,4.15,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-3.70,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-3.73,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-3.78,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-4.03,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-4.44,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-4.71,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-6.24,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-13.14,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-27.06,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-40.90,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-43.24,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-46.20,normal
LVM2,DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,7,-59.71,normal
