Animal,Date,Sex,BW,Genotype,pain,trial,data,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -114.87 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -125.17 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -125.26 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -118.85 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -82.70 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -26.76 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -14.35 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -12.89 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -12.09 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -11.53 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -11.10 gram,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: 5.88 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: 5.83 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: 5.74 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: 5.62 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: 4.25 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: -6.45 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: -8.47 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: -9.06 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: -26.06 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: -24.77 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: -17.13 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: -20.39 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: -24.42 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: -33.09 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: -44.51 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: -53.05 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: -60.29 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: -64.18 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: -71.15 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: -52.46 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: -8.70 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: -0.77 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: 0.07 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: 0.34 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: 0.57 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: 7.23 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: 7.01 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: 6.81 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: 6.60 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: 5.33 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: -1.94 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: -5.02 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: -13.54 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: -18.21 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: -20.82 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: -21.64 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: -27.13 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: -39.34 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: -41.37 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: -44.53 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: -45.87 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: -43.42 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: -43.56 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: -26.04 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: 2.51 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,Reading: 6.25 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,Reading: 7.03 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,Reading: 6.79 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,Reading: 6.52 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,Reading: 6.26 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,Reading: 6.01 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,Reading: 4.41 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,Reading: -6.36 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,Reading: -32.82 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,Reading: -47.52 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,Reading: -47.87 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,Reading: -47.04 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,Reading: -44.70 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,Reading: -34.97 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,Reading: -18.14 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,Reading: -8.40 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,Reading: 4.81 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,Reading: 4.64 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,Reading: 4.44 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,Reading: 4.23 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,Reading: 1.89 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,Reading: -3.85 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,Reading: -17.40 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,Reading: -32.99 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,Reading: -39.03 grams,,,,,,,,,,,,,,,,T3
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,Reading: -47.80 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,Reading: -59.00 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,Reading: -65.39 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,Reading: -52.96 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,Reading: -13.75 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,Reading: 8.12 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,6,Reading: 8.66 gr,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: 3.29 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: 3.00 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: 2.73 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: 2.66 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: 2.37 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: -2.68 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: -9.89 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: -16.87 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: -19.83 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: -24.53 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: -34.96 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: -51.01 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: -68.59 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: -80.91 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: -85.32 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: -83.00 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: -31.21 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: 4.01 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: 6.02 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,7,Reading: 5.58 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -10.79 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -10.79 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -10.80 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -10.76 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -9.52 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -8.78 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -11.53 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -19.04 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -33.89 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -46.27 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -48.73 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -61.67 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -82.00 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -98.22 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -99.96 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -82.91 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -30.12 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -9.60 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,8,Reading: -6.81 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -0.33 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -0.33 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -0.76 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -11.42 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -21.77 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -28.73 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -38.69 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -39.33 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -44.56 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -58.04 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -79.43 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -90.13 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -88.17 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -60.77 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -42.64 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -37.32 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -7.55 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -0.32 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,9,Reading: -0.24 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: 2.33 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: 2.26 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: 2.19 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: 2.09 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: 2.01 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: 1.91 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: 1.82 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: 1.73 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: 0.61 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: -5.17 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: -19.33 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: -38.63 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: -39.58 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: -31.52 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: -21.42 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: -14.03 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: -10.06 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: -13.54 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: -33.75 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: -41.75 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: -4.12 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: 4.66 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,1,Reading: 3.90 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: -0.67 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: 1.16 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: 2.06 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: 2.10 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: 1.83 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: 1.45 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: 0.75 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: -0.72 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: -5.19 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: -17.06 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: -42.43 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: -73.04 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: -48.48 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: 0.31 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: 5.03 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: 4.37 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: 3.67 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,2,Reading: 3.17 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,Reading: 3.64 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,Reading: 3.48 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,Reading: 3.31 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,Reading: 3.22 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,Reading: 3.22 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,Reading: 4.87 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,Reading: 3.44 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,Reading: -6.13 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,Reading: -12.43 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,Reading: -21.04 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,Reading: -27.03 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,Reading: -31.37 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,Reading: -36.02 grams,,,,,,,,,,,,,,,,
DOB 12.4.18,11.7.19,M,31.8,C57BL/6,no,3,Reading: -43.27 grams,,,,,,,,,,,,,,,,
